timestamp;leftHandX;leftHandY;leftHandZ;rightHandX;rightHandY;rightHandZ
31.01.2025 18:38:09;-0,3306425;1,34112;2,813589;-0,2054805;1,324687;2,319031
timestamp;leftHandX;leftHandY;leftHandZ;rightHandX;rightHandY;rightHandZ
31.01.2025 18:40:27;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:40:30;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:40:31;-0,3207263;1,597674;2,736871;-0,1610606;1,283979;2,310924
31.01.2025 18:40:32;-0,695;1,791;2,536;-0,180566;1,330375;2,334219
31.01.2025 18:40:33;-0,5249072;1,459583;2,780204;-0,4401772;1,42143;2,417858
31.01.2025 18:40:34;-0,4798106;1,350617;2,717081;-0,5018807;1,300879;2,395234
31.01.2025 18:40:35;-0,4813665;1,31381;2,712718;-0,473087;1,338166;2,46155
31.01.2025 18:40:36;-0,4805832;1,326172;2,703689;-0,4656006;1,325735;2,469088
31.01.2025 18:40:37;-0,4335403;1,385755;2,670605;-0,4758702;1,35033;2,441978
31.01.2025 18:40:38;-0,4272628;1,36632;2,679981;-0,4757183;1,300954;2,521758
31.01.2025 18:40:39;-0,4230316;1,390436;2,667165;-0,4809985;1,339171;2,481937
31.01.2025 18:40:40;-0,695;1,791;2,536;-0,4565218;1,286767;2,489372
31.01.2025 18:40:41;-0,421372;1,329444;2,69539;-0,4619657;1,323538;2,480765
31.01.2025 18:40:42;-0,695;1,791;2,536;-0,4681466;1,303037;2,493266
31.01.2025 18:40:43;-0,695;1,791;2,536;-0,4726688;1,350571;2,467174
31.01.2025 18:40:44;-0,427613;1,348285;2,700137;-0,4858975;1,322119;2,47528
31.01.2025 18:40:45;-0,4194606;1,348081;2,702529;-0,4863321;1,322692;2,480411
31.01.2025 18:40:46;-0,4198758;1,345767;2,703843;-0,4864735;1,324147;2,480138
31.01.2025 18:40:47;-0,695;1,791;2,536;-0,4843767;1,327956;2,475949
31.01.2025 18:40:48;-0,421049;1,343839;2,705235;-0,4829957;1,322598;2,477692
31.01.2025 18:40:49;-0,3399177;1,440334;2,697196;-0,3245987;1,428056;2,415386
31.01.2025 18:40:50;-0,695;1,791;2,536;-0,3680296;1,402849;2,307127
31.01.2025 18:40:51;-0,3846887;1,597623;2,702769;-0,449992;1,323481;2,379325
31.01.2025 18:40:52;-0,695;1,791;2,536;-0,4409993;1,31761;2,392644
31.01.2025 18:40:53;-0,695;1,791;2,536;-0,1977154;1,363666;2,334266
timestamp;leftHandX;leftHandY;leftHandZ;rightHandX;rightHandY;rightHandZ
31.01.2025 18:47:38;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:47:41;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:47:42;-0,523407;1,520925;2,697216;-0,4839325;1,550278;2,465749
31.01.2025 18:47:43;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:47:44;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:47:45;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:47:46;-0,5021624;1,499935;2,700492;-0,4621003;1,564079;2,482575
31.01.2025 18:47:47;-0,4871861;1,473973;2,674967;-0,695;1,791;2,536
31.01.2025 18:47:48;-0,4858255;1,476086;2,679838;-0,695;1,791;2,536
31.01.2025 18:47:49;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:47:50;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:47:51;-0,486478;1,469441;2,679947;-0,4128754;1,501334;2,454098
31.01.2025 18:47:52;-0,4905608;1,502655;2,679871;-0,4637107;1,549223;2,474892
31.01.2025 18:47:53;-0,4759479;1,530061;2,725109;-0,695;1,791;2,536
31.01.2025 18:47:54;-0,4672609;1,515709;2,728505;-0,3951216;1,563332;2,4159
31.01.2025 18:47:55;-0,4590859;1,508644;2,712451;-0,3596635;1,551763;2,414276
31.01.2025 18:47:56;-0,4218019;1,4998;2,739786;-0,3697273;1,571869;2,413213
31.01.2025 18:47:57;-0,4081543;1,53994;2,702194;-0,3917419;1,556791;2,467613
31.01.2025 18:47:58;-0,3838176;1,517271;2,719738;-0,3219995;1,537546;2,439814
31.01.2025 18:47:59;-0,3719625;1,336999;2,627708;-0,400703;1,581839;2,368676
31.01.2025 18:48:00;-0,3353186;1,248182;2,590641;-0,695;1,791;2,536
31.01.2025 18:48:01;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:48:02;-0,695;1,791;2,536;-0,4136866;1,579942;2,400299
31.01.2025 18:48:03;-0,3758861;1,324764;2,638616;-0,695;1,791;2,536
31.01.2025 18:48:04;-0,3741968;1,318337;2,638211;-0,08260339;1,434468;2,60025
31.01.2025 18:48:05;-0,3532377;1,330391;2,743353;-0,1946165;1,358174;2,303319
31.01.2025 18:48:06;-0,3752015;1,333266;2,768177;-0,207338;1,326722;2,30115
31.01.2025 18:48:07;-0,3772192;1,341435;2,764362;-0,2046681;1,319872;2,297411
31.01.2025 18:48:08;-0,3788996;1,339228;2,763296;-0,208196;1,3266;2,299361
31.01.2025 18:48:10;-0,3778752;1,340341;2,762234;-0,2016042;1,322537;2,296907
timestamp;leftHandX;leftHandY;leftHandZ;rightHandX;rightHandY;rightHandZ
31.01.2025 18:49:30;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:49:33;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:49:34;-0,58132;1,62719;2,613598;-0,2054678;1,316058;2,299475
31.01.2025 18:49:35;-0,4041378;1,408937;2,613311;-0,1937584;1,315598;2,300604
31.01.2025 18:49:36;-0,695;1,791;2,536;-0,2299687;1,322465;2,311289
31.01.2025 18:49:37;-0,695;1,791;2,536;-0,2315732;1,321712;2,312282
31.01.2025 18:49:38;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:49:39;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:49:40;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:49:41;-0,695;1,791;2,536;-0,2537078;1,332356;2,326775
31.01.2025 18:49:42;-0,695;1,791;2,536;-0,2588799;1,339092;2,318038
31.01.2025 18:49:43;-0,695;1,791;2,536;-0,247833;1,337324;2,3272
31.01.2025 18:49:44;-0,695;1,791;2,536;-0,2455194;1,341178;2,328492
31.01.2025 18:49:45;-0,695;1,791;2,536;-0,2332864;1,333386;2,329622
31.01.2025 18:49:46;-0,695;1,791;2,536;-0,2190895;1,325803;2,314914
31.01.2025 18:49:47;-0,695;1,791;2,536;-0,2160857;1,324446;2,316405
31.01.2025 18:49:48;-0,695;1,791;2,536;-0,2144208;1,324389;2,315949
31.01.2025 18:49:49;-0,695;1,791;2,536;-0,218024;1,325979;2,319521
31.01.2025 18:49:50;-0,695;1,791;2,536;-0,2212598;1,326463;2,316229
31.01.2025 18:49:51;-0,695;1,791;2,536;-0,2332175;1,331697;2,32498
31.01.2025 18:49:52;-0,695;1,791;2,536;-0,2025621;1,316318;2,315466
31.01.2025 18:49:53;-0,5183007;1,435073;2,48662;-0,2062857;1,313343;2,307287
31.01.2025 18:49:54;-0,5218323;1,406041;2,483151;-0,2179422;1,315669;2,31057
31.01.2025 18:49:55;-0,5235832;1,409187;2,483391;-0,2178038;1,314963;2,310603
31.01.2025 18:49:56;-0,5234921;1,404545;2,482269;-0,2163626;1,313453;2,309061
31.01.2025 18:49:57;-0,5230595;1,431506;2,484433;-0,2182027;1,315452;2,310848
31.01.2025 18:49:58;-0,5259994;1,402105;2,482419;-0,2156535;1,311856;2,308232
31.01.2025 18:49:59;-0,695;1,791;2,536;-0,695;1,791;2,536
31.01.2025 18:50:00;-0,695;1,791;2,536;-0,2058912;1,316638;2,311219
